TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM
LSU,68.3942,203,68.8017,176,105.199,108,105.507,107,92.7936,45,95.3903,61,10.1172,76
Maine,66.3176,284,67.1342,255,98.361,237,97.6132,274,105.152,244,108.446,300,-10.8326,306
Manhattan,69.9207,122,69.108,157,97.8698,245,96.1713,300,106.786,273,108.582,303,-12.4103,320
Marist,66.2976,286,66.4534,281,95.4952,289,92.3954,343,99.0866,126,104.572,227,-12.1768,315
Marquette,70.8908,87,71.0181,68,113.517,15,115.103,8,96.9067,97,96.4949,69,18.608,23
Marshall,72.551,37,72.7579,30,113.193,21,108.51,58,93.8056,57,98.1183,93,10.3913,73
Maryland,67.9375,224,67.9276,223,110.166,40,111.167,28,91.0023,36,92.6172,35,18.5495,25
Maryland Eastern Shore,67.6213,234,69.7118,133,90.7192,335,94.5772,330,106.537,269,104.101,221,-9.52378,287
Massachusetts,70.9115,85,72.0756,39,98.268,240,100.161,217,92.5562,44,96.8772,76,3.28376,127
McNeese St.,67.6427,233,66.942,260,87.1245,352,93.4818,339,113.551,342,112.095,353,-18.6129,353
Memphis,73.142,26,72.9021,26,106.312,87,110.037,40,94.0037,59,92.7537,37,17.2832,28
Mercer,65.912,300,67.0054,259,107.049,83,105.518,105,105.965,260,105.737,254,-0.218692,170
Merrimack,67.526,243,67.4385,243,80.0184,362,84.4796,363,104.699,235,102.57,175,-18.0908,351
Miami FL,68.5596,196,69.7795,132,113.36,19,114.319,11,98.9022,122,98.925,105,15.3935,40
Miami OH,70.8425,88,68.8904,171,104.485,119,103.153,157,116.74,357,113.208,359,-10.0551,294
Michigan,69.8632,126,69.4433,138,107.587,70,110.733,32,101.363,164,98.7093,102,12.0232,65
Michigan St.,65.7429,306,65.5412,308,103.779,130,109.37,47,99.2183,129,94.813,51,14.5569,43
Middle Tennessee,68.0773,218,69.0412,161,103.378,143,103.068,159,100.978,157,98.9987,108,4.06934,119
Milwaukee,71.4137,67,71.7217,48,99.2559,225,96.1607,301,101.461,166,104.967,239,-8.8066,278
Minnesota,65.1263,321,65.7903,302,96.5033,270,99.4721,237,101.167,161,101.749,160,-2.27656,199
Mississippi,67.0721,260,67.0841,257,102.796,155,105.512,106,94.9276,75,94.9057,52,10.6063,72
Mississippi St.,65.9365,298,64.5301,335,103.751,132,103.496,144,82.4498,4,87.9569,5,15.5388,38
Mississippi Valley St.,66.7357,270,66.2814,290,79.5446,363,86.8399,359,115.562,354,110.546,336,-23.7064,360
Missouri,73.7141,19,72.8165,28,119.451,1,118.159,2,100.479,147,101.705,158,16.454,34
Missouri St.,64.3823,342,64.3637,340,100.909,192,103.706,137,98.6041,115,99.3669,115,4.33899,116
Monmouth,69.7902,129,70.6935,79,85.1491,356,91.2514,349,117.011,358,109.421,318,-18.1697,352
Montana,65.6771,309,65.2865,319,105.983,94,104.755,120,109.185,305,106.51,269,-1.75593,189
Montana St.,69.126,163,68.3388,201,100.531,203,101.813,180,100.049,141,100.127,130,1.68638,145
Morehead St.,67.4375,246,67.1851,253,92.0748,325,96.7516,293,109.55,310,105.635,251,-8.88389,280
Morgan St.,71.9738,50,69.8922,123,91.7213,327,94.8811,323,106.832,275,103.086,192,-8.20504,268
Mount St. Mary's,67.2281,254,67.9983,216,96.9319,257,96.8391,289,99.8075,139,101.793,162,-4.95393,232
Murray St.,67.1425,257,68.0337,214,101.026,190,101.83,179,103.309,204,102.699,178,-0.868954,179
N.C. State,71.5723,61,71.1743,61,112.31,27,110.369,38,94.6042,70,96.835,74,13.5344,54
Navy,65.1635,318,64.9689,326,107.237,78,103.166,156,108.318,294,105.209,243,-2.04325,196
Nebraska,67.5815,237,66.6763,271,100.381,206,103.365,148,95.3878,81,93.3337,41,10.0312,77
Nebraska Omaha,69.3712,149,69.2897,148,96.167,275,99.5317,234,111.625,322,108.999,312,-9.46753,285
Nevada,67.1415,258,67.4621,240,104.732,116,107.088,75,96.424,92,98.1779,96,8.91049,84
New Hampshire,65.8614,304,65.2676,321,93.6947,313,94.1043,333,101.167,160,106.452,266,-12.3477,317
New Mexico,73.4146,22,72.6487,33,113.391,18,110.561,33,93.1065,47,97.5625,88,12.998,58
New Mexico St.,70.495,102,70.4494,92,105.698,100,105.835,97,104.232,224,101.699,157,4.1364,118
New Orleans,73.1236,27,72.9895,25,89.3117,345,94.6214,328,115.407,352,111.008,339,-16.3867,344
Niagara,64.39,341,63.1465,353,96.7122,262,97.0622,284,104.451,227,103.581,204,-6.51857,250
Nicholls St.,76.2611,2,74.9753,4,91.568,328,98.3359,256,107.214,279,102.251,169,-3.91549,226
NJIT,65.9427,296,66.8917,262,94.5674,301,92.7763,340,106.874,276,107.826,287,-15.0501,335
Norfolk St.,66.7716,268,66.6595,273,102.573,158,103.317,151,112.275,330,105.532,248,-2.21511,198
North Alabama,71.385,68,71.0415,65,98.7822,231,98.0613,260,107.886,287,108.017,295,-9.95583,293
North Carolina,70.7446,92,69.8035,129,110.003,42,114.531,10,100.657,150,95.4452,62,19.0862,20
North Carolina A&T,67.8549,225,68.2607,206,94.1236,309,99.8802,224,112.649,336,108.963,309,-9.08293,281
North Carolina Central,69.0604,169,70.1848,109,99.9458,212,101.277,193,105.095,241,103.788,212,-2.51095,201
North Dakota,66.137,291,66.2155,292,99.4299,221,98.0416,262,111.135,319,110.485,333,-12.4432,321
North Dakota St.,71.2844,71,70.0329,117,95.3103,293,98.0083,263,112.959,338,107.848,288,-9.8402,292
North Florida,72.18,44,70.728,78,96.6925,263,102.628,167,112.225,329,107.945,291,-5.3168,235
North Texas,59.6318,363,60.8623,363,100.795,196,104.78,119,89.1015,23,91.7762,25,13.0042,57
Northeastern,68.1552,215,68.5835,185,95.7576,286,97.0621,285,102.046,179,103.185,196,-6.12279,247
Northern Arizona,69.738,134,68.453,192,97.1318,252,100.933,201,112.299,332,109.671,324,-8.73819,276
Northern Colorado,69.369,150,70.3081,101,102.13,169,106.57,81,115.021,349,110.346,330,-3.77603,223
Northern Illinois,71.5534,63,70.6645,80,91.831,326,96.1032,303,106.066,265,106.633,277,-10.5299,299
Northern Iowa,67.2302,253,68.511,190,99.3263,223,100.641,207,100.88,156,101.868,163,-1.22737,183
Northern Kentucky,63.5958,352,63.1323,354,96.5711,268,99.3073,243,103.376,205,102.981,188,-3.67388,219
Northwestern,67.4385,245,67.1254,256,100.598,201,102.074,172,82.8747,5,88.3638,9,13.7097,52
Northwestern St.,68.3624,205,67.33,246,101.383,180,100.644,206,106.552,270,107.976,292,-7.33179,259
Notre Dame,64.2788,344,64.2347,341,109.494,46,109.685,43,105.488,251,103.463,203,6.2227,105
Oakland,70.2785,110,70.0384,116,99.0678,229,101.757,181,115.081,351,111.289,343,-9.53192,288
Ohio,68.2417,208,68.0694,212,108.126,62,105.154,112,106.503,268,104.631,229,0.523402,157
Ohio St.,68.4417,199,67.7809,229,118.669,2,117.81,3,94.178,62,97.039,78,20.7713,14
Oklahoma,64.499,338,64.4416,338,107.281,77,110.937,30,94.3654,64,94.2001,48,16.7367,33
Oklahoma St.,68.7906,179,69.1393,153,103.194,147,107.464,71,88.5374,20,90.2788,17,17.1849,29
Old Dominion,65.1417,319,66.1765,294,103.292,144,101.842,178,100.311,145,101.328,147,0.513904,158
Oral Roberts,72.3438,42,72.8544,27,110.826,34,113.089,18,102.416,189,103.255,197,9.83411,79
Oregon,67.2413,252,68.369,197,103.584,138,109.438,46,96.8415,96,95.102,56,14.3358,45
Oregon St.,66.35,283,64.8144,329,96.1306,277,97.7855,270,97.2861,105,101.403,151,-3.61771,218
Pacific,69.2366,158,70.1893,108,104.1,126,101.698,182,104.961,237,107.704,285,-6.00649,244
Penn,66.4678,280,66.8729,263,106.444,86,106.796,78,108.108,289,106.085,259,0.710838,155
Penn St.,66.5579,277,66.5014,279,111.137,32,110.51,35,95.2961,78,95.2157,58,15.2944,41
Pepperdine,72.8706,32,73.1741,23,101.289,183,102.642,165,99.2942,132,100.394,132,2.24731,141
Pittsburgh,69.9192,123,69.1336,154,108.491,57,108.872,54,96.8294,95,98.1288,95,10.7435,70
Portland,72.3366,43,71.9869,41,105.775,98,105.366,109,102.394,188,103.445,202,1.92086,143
Portland St.,73.7455,18,74.7168,6,99.771,214,99.8703,225,108.297,293,105.533,249,-5.66317,238
Prairie View A&M,69.3225,156,69.5258,137,94.9094,296,96.5493,296,105.602,255,104.783,235,-8.23388,269
Presbyterian,65.2365,317,65.5841,306,96.2951,271,95.9974,305,108.136,291,106.809,279,-10.8113,305
Princeton,67.8023,228,68.2358,207,108.699,53,106.021,94,96.2425,89,101.098,143,4.92332,114
Providence,69.747,132,69.0268,163,113.211,20,111.524,27,96.3125,91,97.3652,84,14.1588,47
Purdue,65.6637,310,65.4856,311,116.808,6,116.763,5,91.3699,39,91.8426,27,24.9204,7
Purdue Fort Wayne,71.2543,74,70.3502,98,99.4483,219,100.625,209,96.0012,86,99.2304,111,1.39421,148
Queens,70.1557,114,69.3335,144,107.353,76,105.848,96,103.939,216,106.86,281,-1.01212,181
Quinnipiac,69.8781,125,70.9592,70,101.862,175,100.876,203,96.2533,90,101.309,146,-0.432764,174
Radford,68.7552,182,68.2702,205,102.54,160,99.5903,231,103.096,202,103.101,193,-3.51082,215
Rhode Island,67.9801,222,67.9903,218,96.1886,273,98.2178,258,98.7774,118,100.885,138,-2.66743,204
Rice,72.7165,34,72.5231,34,108.087,64,105.585,102,106.698,272,106.404,265,-0.818745,177
Richmond,66.5628,276,65.8464,299,103.638,135,103.206,153,95.1699,77,96.5397,71,6.66668,98
Rider,67.2262,255,67.1874,252,104.822,115,103.581,143,105.972,262,106.564,273,-2.98362,207
Robert Morris,67.6823,232,67.921,224,96.1429,276,97.7097,273,99.6967,138,101.897,165,-4.18699,228
Rutgers,68.4365,200,67.6597,234,104.326,121,104.216,130,79.7573,3,85.4323,3,18.7841,22
Sacramento St.,64.525,337,63.7171,347,100.883,193,101.242,195,107.452,285,106.402,264,-5.16031,234
Sacred Heart,71.8473,53,71.8103,45,94.7534,298,94.7909,324,103.543,211,108.195,298,-13.4046,327
Saint Joseph's,69.4213,147,70.9092,73,101.072,189,99.8984,223,102.267,185,103.386,200,-3.48768,213
Saint Louis,70.5938,99,69.8107,128,105.795,97,110.532,34,102.645,194,100.239,131,10.2933,75
Saint Mary's,64.3367,343,64.5193,336,107.54,71,108.697,56,88.3672,17,88.2507,8,20.4461,16
Saint Peter's,64.9807,329,65.1223,323,93.9355,311,94.6423,327,103.023,199,104.153,222,-9.51071,286
Sam Houston St.,66.5194,278,67.2539,248,101.446,179,102.204,170,91.6576,41,93.9885,45,8.21563,88
Samford,68.5819,194,67.9602,221,105.754,99,105.675,100,102.984,197,105.164,242,0.511405,159
San Diego,69.5014,142,70.0267,118,107.511,72,107.513,70,111.628,323,108.875,307,-1.36221,185
San Diego St.,70.4123,105,70.6075,85,103.427,140,108.143,62,91.4904,40,89.9389,13,18.2043,26
San Francisco,71.2567,73,71.1098,62,104.138,125,106.341,88,94.4051,65,98.4891,100,7.85178,90
San Jose St.,63.1079,357,63.4076,351,106.147,90,104.801,118,101.711,175,102.952,187,1.84856,144
Santa Clara,71.0099,83,71.3611,55,104.319,122,105.648,101,97.9396,109,98.357,99,7.29131,94
